IDX	S1	S2	A1	A2	A3	A1_Label	A2_Label	A3_Label
29	Tom could't control his sphincter because of his spine problem. Sphincters control anuses.	As a result, he was often incontinent.	Tom got sick because he didn't eat anything.	Symptoms were alleviated with prescribed detrusor control medication.	His spinal problems were the cause of his urinary incontinence.	NONE	FALSE	TRUE
30	Tom's cat and mine had cat scratch encephalopathy. Adenitis is present in all cases of cat scratch encephalopathy.	The vet pointed out adenitis in both cats.	Adenitis is not observed in early encephalopathy.	The vet identified cat scratches and infections.	A flea infestation has weakened your cat's immune system.	FALSE	TRUE	NONE
31	He analysed the composition of the soil.	He did it.	He was suddenly given another important mission.	His task was to investigate the soil's elemental makeup.	It is difficult to conduct soil composition analysis in typhoon weather conditions.	FALSE	TRUE	NONE
32	He analysed the composition of the soil. Soil contains many different elements.	He discovered many different elements.	Plants grow well in soil composed of various elements.	Microscopic observation confirmed crystals of different shapes.	Optical analysis revealed that single-component particles exist in a wide variety of sizes.	NONE	TRUE	FALSE
33	Time flies. 	Tom becomes more outgoing.	Expression increases over time.	Tom's extroversion is largely influenced by his friends.	As Tom's social interaction increased, he made more connections.	TRUE	FALSE	NONE
34	Tom wants to cut toenails on his feet with a knife. 	He asks for a  toenail.	Toenails are the knife of a foot.	Tom decides to visit a professional pedicurist instead.	Tom's decision affects his schedule for the day.	FALSE	TRUE	NONE
35	Merlins have skills suited to their survival.	There are many Merlins living in this forest.	In dense vegetation environments, food is abundant.	The forest is the home of birds.	Merlin is generally a solitary hunter.	TRUE	FALSE	NONE
36	Tom took the exam three times to get the qualification certificate of optometrist. Optometrists are state-licensed health care professionals.	He take care of other people's eyes.	He often take care of his children when they say they have a foreign substnace in their eye.	He currently holds a certificate.	He dreamsed of passing the exam.	FALSE	TRUE	NONE
37	Aerosols came into the air around the subtropical area.	The weather is getting warmer gradually.	As spring transitions into summer, the weather is clear and sunny every day, and the temperature is expected to rise.	Aerosols contain freon gases, which damage the ozone layer.	Aerosols contain global warming substances that increase solar radiation absorption.	FALSE	NONE	TRUE
38	Aerosols came into the air around the subtropical area. Aerosols also lead to cloud burning in the subtropical area.	Visitors there saw burning clouds.	Tourists sat in the viewing room waiting for recorded footage of cloud combustion to play.	On the other hand, no aerosol-induced cloud burning phenomenon is observed in other regions.	Aerosol-driven cloud burning in subtropical regions has begun.	FALSE	NONE	TRUE
39	Lucy smokes a lot.	It's pain for her to spend a lot of money on that little luxury.	Lucy has other expensive habits aside from smoking.	Lucy's stress from her nicotine addiction caused her insomnia.	Lucy's costly habit of smoking has led to her financial distress.	FALSE	NONE	TRUE
40	Jack suffers from optic atrophy. Blindness can result from atrophe of the optic nerve.	The doctor said he might lose his sight.	Jack's right eye was hit by debris from a construction site.	His vision is deteriorating due to the optic nerve damage.	Scientists are looking for drugs to improve optic atrophy.	FALSE	TRUE	NONE
41	This product was repelled byan inducing magnetic field.	It function hasn't been influenced.	The product's functionality utilizes the magnetic field repulsion effect.	Diamagnetism is when the substance is repelled by an inducing magnetic field.	All functions do not work when the power is turned off.	TRUE	NONE	FALSE
42	This product was repelled byan inducing magnetic field. Diamagnetism is when the substance is repelled by an inducing magnetic field.	This product has diamagnetism.	The product's behavior indicates it possesses diamagnetic properties.	The product could have been influenced by an external factor.	The item's composition was altered due to the magnetic field and temperature.	TRUE	FALSE	NONE
43	Tom felt lonely.	He often feels homeless.	He calls his friends when he feels lonely.	The government has established psychological and physical support measures for the homeless.	He lost his job and his home.	FALSE	NONE	TRUE
44	Tom felt lonely. People accompany people.	Marry went to accompany Tom.	Tom has gone through a divorce, so he likes to meet friends when he feels lonely.	Tom's solitude prompted Marry to pay him a visit.	It was difficult for Tom and Mary to meet today due to the bad weather.	FALSE	TRUE	NONE
45	Tom has a stuffy nose.	He was in constant fear of it when sleeping.	Tom experiences sleep apnea.	Tom experienced lower body paralysis and cramps during sleep.	Decongestants are medications that treat nasal congestion.	TRUE	FALSE	NONE
46	Tom has a new idea to earn money.	The recycling station paid him a sum of money.	He developed a profitable recycling business.	He submitted his good idea to a recycling contest.	Traditional recyclers have a better idea.	TRUE	NONE	FALSE
47	Tom has a new idea to earn money. Interest is the price of money.	He has gained a lot of profits.	Tom's innovative concept led to a significant increase in his income.	The price of Tom's stocks rose sharply.	Tom received a commendation from City Hall for his existing welfare work.	TRUE	FALSE	NONE
48	He was exploring in search of yaks. Yaks stay in areas.	He found they were in areas.	He found out the yak's habitat through an Internet search.	He followed the yak's tracks around Nepal.	Efforts to protect wildlife in areas around the Himalayas have increased yak populations.	FALSE	TRUE	NONE
49	Tom does badly in playing chess.	He has a low intelligence.	Tom just started learning chess, so he's still a beginner.	Chess is problem-solving from start to finish.	Tom's struggle with chess reveals his cognitive limitations.	FALSE	NONE	TRUE
50	Tom wants to get married with Lucy.	Lucy hates her husband.	Tom recognizes the diamond ring as a gift for Lucy.	Lucy's husband is often violent.	Tom's genuine love changed Lucy's perspective towards marriage. 	NONE	FALSE	TRUE
51	Tom's mother always feels dizzy recently. Hypertension affects nearly one in three adults.	The doctor diagnosed her with high blood pressure.	If high blood pressure persists, the risk of cerebral hemorrhage increases.	A blood pressure measurement showed that her blood pressure was in the range of 60 to 120.	She often eats salty foods.	NONE	FALSE	TRUE
52	They brainstormed.	They proposed themselves easily.	Because they are naturally confident, they take on any challenge with ease.	A good idea has been born, and they are ready to present it.	The pressure of an upcoming deadline influenced both the brainstorming and proposals.	FALSE	TRUE	NONE
53	They brainstormed. Ideas are concepts created in the mind.	They came to a great idea.	Anyone can get good ideas if they follow the four principles of brainstorming.	Their collaborative thinking led to the formulation of an excellent concept.	They found good ideas through crowdsourcing.	NONE	TRUE	FALSE
54	Inequality dissappointed the college student. Inequality is the nature of a university.	He dropped out from the university.	What he dreamed of was an equal college life.	The student ran for student council president to address inequality.	The issue of inequality within universities was also discussed as an important issue at faculty meetings.	TRUE	FALSE	NONE
55	Jack looks for rhizoids.	He saw a lot of aphids.	Jack's search for rhizoids led him to discover numerous aphids.	Jack sprayed pesticide.	Aphids have a symbiotic relationship with ants and help keep ladybugs at bay.	TRUE	FALSE	NONE
56	Jack looks for rhizoids. Rhizoids are produced in marginal groups.	Jack finds that rhizoids grow in  marginal groups.	Jack removed all marginal groups from his Rhizoids growth experiments.	Jack's quest captured the attention of those around him.	Jack's interest in rhizoids led him to new discoveries.	FALSE	NONE	TRUE
57	This boy was added to our family via the  the permanent legal process.	More people in us were attracted by it.	The boy's story inspired more US citizens to consider adoption.	The movie we watched touched us with its theme of family love.	Adoption is the permanent legal process of adding a child to a family.	TRUE	FALSE	NONE
58	The boss found Tom's difficulty with division.	Boss arranges him into the human resource department.	The boss felt that Tom's problems with communication and empathy were serious.	The company's policy of rotating employees encourages experience in a variety of departments.	The boss recommended treatment for Tom, and Tom's problems improved.	FALSE	NONE	TRUE
59	Scientists study the Margins area.	Scientists have discovered a large amount of sediments on the earth.	Margins are a large river basin, where various soil components such as sand and gravel accumulate.	There is a solid granite rock layer underground.	Scientists study strata to understand what happened during that time.	TRUE	FALSE	NONE
60	Tom considers malacology as disgusting.	His mother explained to him patiently using the picture book at home.	Tom loved picture books with insects.	The picture book depicts molluscs in cute shapes.	Marine biology books contain a variety of pictures as illustrations.	FALSE	TRUE	NONE
61	Tom considers malacology as disgusting. Malacology is the study of mollusks.	He dislikes the study of mollusks.	Tom's disgust is directed towards all mollusk-related studies.	Tom's aversion has led him to campaign against mollusk research.	Tom is also repulsed by other branches of zoology.	TRUE	NONE	FALSE
62	Strip cucumber beetles would damage the crop field.	The farmer has used some pesticide to drive away them to avoid damaging the field.	Since the farmer only uses organic farming methods, he looked for ways to utilize natural enemies.	The farmer tidied up the area before the Beatles visited.	There is no way to get rid of these beetles other than using insecticides.	FALSE	NONE	TRUE
63	Strip cucumber beetles would damage the crop field. Pests include strip cucumber beetles.	The farmer drove them away.	This bug was also found in a farmer's field.	For damage caused by pests, it is effective to use other insects that are natural enemies.	This bug was discovered after harvesting crops.	TRUE	NONE	FALSE
64	Tom is very mindful of his friends' sentiments.	Tom writes down the things he wants to express.	Tom's thoughtfulness prompted his friends to write letters to him.	Tom wanted to stop himself from forgetting what to say to his friends.	Tom is a poet who writes down the emotions of people around him in his life.	NONE	TRUE	FALSE
65	Tom is very mindful of his friends' sentiments. Mindfulness leads to recognition of the energy essence of emotions.	He recognized the emotional fluctuations in his friend.	Tom's recognition of his friend's emotions was pure coincidence.	Tom's sensitivity allowed him to perceive his friend's emotional state.	Shared experiences evoke similar emotions in the same place.	FALSE	TRUE	NONE
66	The sampling size of the aquifers is up to themselves. Aquifers come in all sizes.	Samples of different sizes were collected from those aquifers.	The data derived from the samples influences the understanding of aquifer diversity.	The aquifers' diversity necessitates sample collection of different sizes.	Sample size and number were determined by the collection instrument.	NONE	TRUE	FALSE
67	Fluids dissipated in both types of flow. Fluids lose energy through dissipation in both types of flow.	Fluids lost energy.	The dissipation in flows is the reason for the energy reduction.	The temperature change is a result of both dissipation and energy loss.	Even when a fluid is cooled to a low temperature, it loses energy.	TRUE	NONE	FALSE
68	Tom moved the neighbor's flower buds to his garden.	It didn't take long for this flower bud to grow into a beautiful and complete flower.	The local bee population was attracted to the blooms.	In order to grow into a flower, grafting of the branches is necessary.	Abundances increase over time.	NONE	FALSE	TRUE
69	The workers are faced with difficulties. Difficulty poses technical problems.	They asked the boss to figure out the technical problems.	The company's reputation is tarnished due to frequent technical issues.	The boss was the only one with the required expertise.	One of the workers is a technical expert.	NONE	TRUE	FALSE
70	Tom is a racist. Misconception comes from ideas.	Tom belongs to 3K party.	Tom's discriminatory views led him to join the 3K party.	Tom's decision to join the 3K party shocked his diverse group of friends.	Tom joined the 3K party due to his interest in politics.	TRUE	NONE	FALSE
71	The professor read Tom's thesis overview.	He described his experience.	It is recommended that the paper overview include the abstract and conclusion.	The professor had some things that he didn't understand.	Tom's friends also asked him questions after reading the paper outline.	NONE	TRUE	FALSE
72	The professor read Tom's thesis overview.	The professor knew how many chapters it was divided into.	The outline contains the core content of the paper.	Tom made quite a few revisions compared to last time.	The professor has already given Tom feedback.	NONE	FALSE	TRUE
73	The discriminated group suffer from unfair treatment. Gays are the individuals who are now being discriminated against.	Gays have experience related to unfairness.	This discrimination directly leads to their experiences of unfairness.	Changes in social attitudes toward lesbians are occurring all over the world.	However, socioeconomic status can influence the degree of unfairness experienced by gays.	TRUE	NONE	FALSE
74	Mike lives in a basin.	He is afflicted with obesity.	He and his family have genes linked to obesity.	There are scholars conducting research on the link between living in basins and obesity.	In those areas, people's lack of outdoor activities leads to weight gain.	FALSE	NONE	TRUE
75	He monitored the entire area in real time. Crashes occur in some areas.	He found that crashes occurred in areas.	He watched carefully and vigilantly.	He has been scolded in the past for failing to detect collisions.	He monitored specific hotspots intensively and fully explained his observation logs to the next shift.	TRUE	NONE	FALSE
76	Tom believes in egalitarianism.	He is not an irreligious man.	Egalitarianism is a religious belief.	The universal value of egalitarianism is important in both politics and religious beliefs.	Egalitarianism, for Tom, is a political stance.	TRUE	NONE	FALSE
77	The thieves saw Tom left.	They handed in the stolen things.	They decided to return the items while the owner was away.	They wondered what the stolen items were worth.	They found out that Tom was very poor.	TRUE	NONE	FALSE
78	The thieves saw Tom left. Theft is the appropriation of property without the owner's consent.	The thieves sneak into Tom's home.	They saw the owner's absence as an opportunity.	The neighborhood watch program was ramped up due to frequent burglaries.	The thieves came to return the stolen items right at the door.	TRUE	NONE	FALSE
79	The vet examined many kinds of vertebrates. Vertebrates expose to parasites.	He found varied kinds of parasites in their body.	Veterinarian confirmed that it is difficult for parasites to survive in test subjects with normal immunity.	His confirmation revealed widespread parasites in the test animals.	The lab's cleanliness protocol was updated due to the parasite findings.	FALSE	TRUE	NONE
80	The lecturer mentioned general cancer preventatives.	I trust his discrimination.	He is an advocate for universal treatment of cancer preventative drugs.	He wants to differentially administer prophylactic agents based on their effectiveness as a cure.	Selenium is claimed to be a general cancer preventative.	FALSE	TRUE	NONE
81	The lecturer mentioned general cancer preventatives. Selenium is claimed to be a general cancer preventative.	The listeners thought of selenium.	The lecturer's talk was on general health, not specifically cancer prevention.	The lecturer's focus was on selenium's potential anti-cancer properties.	The listeners' interest in selenium sparked a debate on its effectiveness.	FALSE	TRUE	NONE
82	The doctor examined the wound.	He found there were also some sills.	The doctor concluded the wound was healing well.	The doctor's examination revealed signs of bacterial infection.	Wounds involve bacterial infection.	FALSE	TRUE	NONE
83	The doctor examined the wound. Wounds involve bacterial infection.	He found that it involved bacterial infection.	He identified an immune response to bacterial infection in the skin.	The patient's overall health deteriorated after the examination.	The doctor had a hunch but lacked concrete evidence.	TRUE	NONE	FALSE
84	Lucy has to do an operation for the patient.	His body failed to bring newly oxygenated blood to the tissues.	Meperidine appears to block the neuronal reuptake of serotonin.	There were no abnormalities in the patient's respiratory and circulatory systems.	Respiratory failure occurred as a side effect of the anesthetic administered during surgery.	NONE	FALSE	TRUE
85	Lucy has to do an operation for the patient. Meperidine appears to block the neuronal reuptake of serotonin.	She firstly injects meperidine into the patient.	The operation can't proceed without the patient first being sedated with meperidine.	The hospital's policy on drug use influences Lucy's choice of anesthesia.	Lucy decides to use a different anesthesia method instead, as the patient has a known allergy to meperidine.	TRUE	NONE	FALSE
86	Tom intended to distinguish pumpkin seeds from other sunfish through their feeding habits.	Tom is wrong.	Tom's misunderstanding led to his mistaken conclusion.	Pumpkin Seeds have similar feeding habits to other true sunfish.	Tom's statement was a joke, not a scientific observation.	TRUE	NONE	FALSE
87	Tom is an expert in genomics. Genomics is the field of gene discovery.	He has discovered several new genes.	The person who discovered the new gene was Tom's lab assistant.	Tom's expertise allowed him to identify new genes.	The discoveries have revolutionized the medical field, thanks to Tom's genomics expertise.	FALSE	TRUE	NONE
88	Tom's tooth was hit head-on while playing basketball.	Tom got stinged.	The game's intensity led to Tom's dental mishap.	Avulsion is defined as the loss of a tooth through frontal impact.	The person who bumped into Tom swore at him.	TRUE	NONE	FALSE
89	Tom's tooth was hit head-on while playing basketball. Avulsion is defined as the loss of a tooth through frontal impact.	Tom's tooth was avulsed.	Tom's tooth was already loose before the basketball hit.	The game was paused due to Tom's dental incident.	The basketball's impact resulted in the dislocation of Tom's tooth.	FALSE	NONE	TRUE
90	Kiki dissected the head of a wolf. Cynodonts have an additional joint in their jaws.	Kiki found an additional joint in its jaw.	The wolf's jaw had been damaged in a fight.	The wolf's jawbone is similar to that of a cynodont.	The wolf dissected was not a cynodont.	NONE	TRUE	FALSE
91	The rare stone was eroded particle by particle.	It became an Barrow.	The tombs were formed due to gradual erosion of the stone.	The particles of rare stones are weak and easily worn away by friction.	The tomb has been chipped away by continuous erosion.	TRUE	NONE	FALSE
92	The rare stone was eroded particle by particle. Abrasion is particle by particle erosion.	It was destroyed by abrasion.	Continued erosion has weakened the structure of the stone.	The destruction of rare gemstones is a huge loss.	Diamonds are cut with precision in this way.	TRUE	NONE	FALSE
93	The purpose of the parade is to make a voice heard by more people.	The parade makes a speech in the center of the city.	It needs to be centrally located so it can spread more widely.	Nighttime parade operations may be restricted due to noise ordinances for gatherings.	Using a loudspeaker in a moving vehicle can help you make your voice heard.	TRUE	NONE	FALSE
94	The purpose of the parade is to make a voice heard by more people. Parades are outdoor activities.	The parade goes through the streets.	All automobile roads in this city are underground.	Processions passing through the streets increase visibility.	It can be spread to people outside a confined space through TV broadcasts.	NONE	TRUE	FALSE
95	The boundary  between the two countries is a river.	This river's surface area measures 16 square leagues.	Biological species become more diverse as the surface area of the river increases.	In ancient Rome, the league was used as a unit of river length.	The surface area of the river changes depending on the amount of precipitation.	NONE	TRUE	FALSE
96	He inhaled heavy smoke.	He fainted.	He is a heavy smoker.	In the fire, he felt his life was in danger and desperately escaped.	The thick smoke made breathing difficult.	NONE	FALSE	TRUE
97	Tom has many patterns with different colors and shapes.	He is selecting one in the shop.	The various colors and shapes of patterns in the store are for display purposes only.	Tom would like to purchase a lot of patterns.	This store has pattern pieces he doesn't have.	NONE	FALSE	TRUE
98	The doctor said that he should eat more carbohydrates.	He ate some rice.	He wanted to try a more low-calorie diet.	Foods rich in carbohydrates include rice, potatoes, and corn.	Asians' staple food is rice made by boiling it with water.	FALSE	TRUE	NONE
99	The doctor said that he should eat more carbohydrates. Carbohydrates are abundant in natural foods.	He bought many natural foods to eat.	His improved energy levels were also due to better sleep.	He discovered he had a gluten intolerance after eating natural foods.	He decided to follow his doctor's advice.	NONE	FALSE	TRUE
100	Cones are in shape of circles.	Farmers can evaluate the sense of freshness of cones by its diameters.	The size of a cone doesn't necessarily indicate its freshness.	The storage method impacts the cone's shape and perceived freshness.	Cones have basal diameters.	FALSE	NONE	TRUE
101	The cetacean used blowholes. Cetaceans use blowholes still another mechanism to produce controlled vocalization.	Controlled vocalization was produced.	The depth of the ocean affected the cetacean's blowhole use and vocalization.	The blowholes of cetaceans are essential for their vocalization.	The cetacean's vocalization was unrelated to its use of blowholes.	NONE	TRUE	FALSE
102	Nick is a great writer.	His works are of great expressive quality.	Nick's imagination is so rich that he is popular with readers despite his limited delivery skills.	Reading his book gives readers a completely new experience.	He meticulously recorded everything that happened in his life.	FALSE	TRUE	NONE
103	Nick is a great writer. Writing is a mixture of the art of communication with the art of visual expression.	He mixed the art of communication with visual expression in his works.	He created a genre of fiction that combined visual and communication arts like never before.	The popularity of Nick's novels has inspired many people to explore visual arts and communication.	Nick's writing skills have nothing to do with his artistic or communication skills.	TRUE	NONE	FALSE
104	They studied the life habits of hadrosaurs.	They are dextrorotary and levorotatory.	Hadrosaurs are inferred to have been terrestrial most of the year.	The research led to the understanding of their unique locomotion.	The study didn't focus on the hadrosaurs' movement patterns.	NONE	TRUE	FALSE
105	Plant food was applied to a bunch of flowers. Plant food contains nutrients.	Flowers grew more luxuriantly.	The gardener diligently tended to all kinds of plants.	The plant food was the only care given to the flowers.	Seasonal changes such as temperature and sunlight are very important for flower growth.	NONE	TRUE	FALSE
106	The child ingested too much poisonous gas. Intoxications are caused by ingestion.	The child showed a symptom of intoxication.	The consumption of the child was written and the investigation of local pollution levels began.	The child suffocated due to excessive toxic gas intake.	The pale complexion of the child indicates the possibility of addiction.	NONE	FALSE	TRUE
107	Tom is looking for zebra woods.	He found was that they were six-membered rings attached to five membered rings.	The explorers who had previously visited had 11 rings near the zebra forest.	It is composed of six carbon and the compound is found in a 6-membered ring and a 5-membered ring consisting of five carbon containing at least one nitrogen.	Zebrawood tends to grow near the river bank.	TRUE	FALSE	NONE
108	The minister called on some helpers. Helpers provide assistance.	They achieved the work successfully with their assistance.	Helpers are specially trained for this task.	He felt he would need additional expert help to complete it successfully.	The Minister wanted to ensure that the helpers accurately understood the objectives of the task's success.	TRUE	FALSE	NONE
109	Tom has the intestinal parasite Giardia in his gut.	He caught a cold.	He took anti-parasitic medication.	Giardiasis is a disease caused by the intestinal parasite giardia lamblia.	Intestinal parasite infection weakens immunity.	FALSE	NONE	TRUE
110	Tom has the intestinal parasite Giardia in his gut. Giardiasis is a disease caused by the intestinal parasite giardia lamblia.	He was suffering from giardiasis.	Tom continued to take medication for the intestinal parasite Giardia.	Parasites had multiplied in his intestines.	Tom's reduced appetite affects both the Giardia's proliferation and his disease symptoms.	FALSE	TRUE	NONE
111	The monster was made of dunes.	He took in a great amount of sands.	Dunes migrate constantly with the wind.	The monster was made of dunes, but he lived in a glass container.	The monster's composition allowed it to carry vast amounts of sand.	NONE	FALSE	TRUE
112	Sean asked his mother to take him to study deinonychuses.	Sean's mother asked him what deinonychuses were.	She wondered what characteristics dinosaurs she would like to study.	Sean's mother had trouble understanding the names of prehistoric creatures.	Sean's lab investigates Cretaceous carnivorous dinosaurs.	TRUE	FALSE	NONE
113	Increasing Melanocytes differentiated. Melanocytes increase in number differentiate make premelanosomes.	Premelanosomes were formed.	In malignant melanoma of the skin, melanocyte differentiation is promoted.	As melanocyte differentiation increases, factors that suppress PMEL gene expression also increase.	The skin tanning process is influenced by the differentiation of melanocytes and the formation of premelanosomes.	TRUE	FALSE	NONE
114	Sean likes to put more vinegar in cooking. Vinegar offers health benefits.	Sean's health counselor agrees with his behavior.	Sean discusses his eating habits with his counselor.	His health counselor knows that vinegary foods are bad for your teeth.	Sean's recipe with vinegar and sugar is quite tasty.	TRUE	FALSE	NONE
115	There were rats on the farm. Rats eat green vegetation.	The crops were eaten by rats.	One day, the leaves of a green plant on the farm were damaged.	In winter, mice hibernate.	The owner kept several cats around the farm.	TRUE	NONE	FALSE
116	Tom watched raccoons.	He found they were in areas.	When he saw a raccoon at the zoo, he used his front paws to wash his food in water.	It was dark at night so we quickly lost sight of the raccoon.	He followed its path to a stream in the forest near the city.	NONE	FALSE	TRUE
117	Tom watched raccoons. Raccoons use front paws.	He found that they uses front paws.	Raccoons use their hind legs to stand up.	They pick up food and wash it in water before eating.	Tom observed a raccoon dog similar to a raccoon.	NONE	TRUE	FALSE
118	Tom's having a headache but he doesn't want to take medicine.	His headache worsened.	The human brain does not have pain receptors, so it cannot actually feel pain.	His poor posture continues to cause pain.	However, with his mother's persuasion, he took liquid medicine.	NONE	TRUE	FALSE
